russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
"И парень наш, и девушка тоже",Oglan Bizim Kiz Bizim,,,мелодрама,Семра Дюндар,True,2016.0,,112.0,Турция,Арас Айдын|Мелис Бабадаг
Когда ангелы спят,Cuando los ángeles duermen,5.2,355.0,ужасы,Гонсало Бендала,True,2018.0,,91.0,Испания,Хулиан Вильягран|Мариан Альварес
Стервочки,Little Bitches,4.5,355.0,комедия,Ник Крайсс,True,2018.0,,86.0,Мексика,Дженнет МакКарди|Кирси Клемонс
Неаполитанские истории,Bagnoli Jungle,5.9,355.0,драма,Антонио Капуано,True,2015.0,,100.0,Италия,Луиджи Аттриче|Антонио Касагранде
Детектив Джагга,Jagga Jasoos,7.1,355.0,мюзикл,Анураг Басу,True,2017.0,,161.0,Индия,Ранбир Капур|Катрина Каиф
Ниндзя апокалипсиса,Ninja Apocalypse,3.0,355.0,ужасы,Ллойд Ли Барнетт,True,2014.0,,84.0,США,Кристиан Оливер|Лес Брандт
Двойники,Humshakals,6.1,355.0,драма,Sajid Khan,True,2014.0,,159.0,Индия,Саиф Али Кхан|Ритеш Дешмукх
Жгучий взор Сяны 3,Shakugan no Shana III: Final,6.8,355.0,аниме,Такаси Ватанабэ,False,2011.0,2011.0,,Япония,Риэ Кугимия|Сатоси Хино
Прежде чем потерять всё,Avant que de tout perdre,6.1,355.0,короткометражка,Ксавье Легран,True,2012.0,,29.0,Франция,Леа Дрюкер|Анн Бенуа
Сияющие сердца: Без хлеба куска везде тоска,Shainingu Hatsu: Shiawase no Pan,5.8,355.0,аниме,Ицуро Кавасаки,False,,,,Япония,Женевьева Симмонс|Карли Мосье
Игра по правилам,Fair Play,6.0,355.0,драма,Андреа Седлачкова,True,2014.0,,100.0,Чехия,Юдит Бардош|Анна Гейслерова
Мама,Mother,8.0,355.0,драма,Нобуо Мидзута,False,,,,Япония,Ясуко Мацуюки|Кодзи Ямамото
Таинственный остров,L'île mystérieuse,6.2,355.0,фантастика,Хуан Антонио Бардем,False,,,,Испания,Омар Шариф|Жерар Тиши
Смерть и слава в Чандэ,Die xue gu cheng,6.4,355.0,боевик,Шэнь Дун,True,2010.0,,131.0,Китай,Рэй Лю|Ади Ань
Беглец,Escapee,4.2,355.0,ужасы,Кэмпион Мерфи,True,2011.0,,98.0,США,Доминик Пёрселл|Кристин Евангелиста
